player,JerseyNumber,nation,Pos,age,min,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,arial_duels_won,arial_duels_lost,arial_duels_won_pct,game_id,player_id,team_name
Bella Bixby,1,us USA,GK,29-207,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,692f1ab8,1Bella Bixby692f1ab8,Portland Thorns FC
Gift Monday,21,ng NGA,FW,23-188,90,0,0,0,4,1,1,1,0,0,0,0,0,1,4,3,57.1,692f1ab8,21Gift Monday692f1ab8,Washington Spirit
Rosemonde Kouassi,19,ci CIV,LW,23-171,90,0,0,0,2,1,0,0,0,1,0,0,0,6,0,0,0.0,692f1ab8,19Rosemonde Kouassi692f1ab8,Washington Spirit
Brittany Ratcliffe,13,us USA,RW,31-128,59,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0.0,692f1ab8,13Brittany Ratcliffe692f1ab8,Washington Spirit
Makenna Morris,8,us USA,RW,23-050,31,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0.0,692f1ab8,8Makenna Morris692f1ab8,Washington Spirit
Croix Bethune,7,us USA,AM,24-093,59,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.0,692f1ab8,7Croix Bethune692f1ab8,Washington Spirit
Courtney Brown,16,us USA,AM,24-202,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,692f1ab8,16Courtney Brown692f1ab8,Washington Spirit
Hal Hershfelt,17,us USA,DM,22-255,90,1,0,0,3,1,0,0,1,2,0,0,0,4,1,0,100.0,692f1ab8,17Hal Hershfelt692f1ab8,Washington Spirit
Narumi Miura,5,jp JPN,DM,27-347,90,1,0,0,2,1,0,6,1,3,0,0,0,2,0,0,0.0,692f1ab8,5Narumi Miura692f1ab8,Washington Spirit
Casey Krueger,3,us USA,LB,34-296,45,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0.0,692f1ab8,3Casey Krueger692f1ab8,Washington Spirit
Rebeca Bernal,4,mx MEX,CB,27-288,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,692f1ab8,4Rebeca Bernal692f1ab8,Washington Spirit
Esme Morgan,24,eng ENG,CB,24-240,82,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0,692f1ab8,24Esme Morgan692f1ab8,Washington Spirit
Kysha Sylla,25,fr FRA,CB,21-131,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,692f1ab8,25Kysha Sylla692f1ab8,Washington Spirit
Tara McKeown,9,us USA,RB CB,25-348,90,0,0,0,2,1,0,1,2,0,0,0,0,5,0,1,0.0,692f1ab8,9Tara McKeown692f1ab8,Washington Spirit
Gabrielle Carle,14,ca CAN,LB RB,26-246,90,0,0,0,0,2,0,3,2,1,0,0,0,3,2,0,100.0,692f1ab8,14Gabrielle Carle692f1ab8,Washington Spirit
Aubrey Kingsbury,1,us USA,GK,33-207,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,692f1ab8,1Aubrey Kingsbury692f1ab8,Washington Spirit
